model_base,family,seeds,n,params,best_val_loss_mean,best_val_loss_std,greedy_bfs_optimal_mean,greedy_bfs_optimal_min,greedy_bfs_optimal_max,greedy_bfs_optimal_std,beam5_bfs_optimal_mean,beam5_bfs_optimal_min,beam5_bfs_optimal_max,beam5_bfs_optimal_std
encoder16r6_kan_b40_h16,Encoder-KAN,"0,1,2",3,15528,0.3371,0.003,94.6333,94.3,94.8,0.2887,99.5333,99.5,99.6,0.0577
encoder16_kan_b40_h16,Encoder-KAN,"0,1,2",3,15528,0.3329,0.0193,94.4333,93.8,94.8,0.5508,99.5,99.2,99.8,0.3
